Название;Цена;Город;Дата размещения;Ссылка на фото;Ссылка на страницу
iPhone X 256 gb;39 900 ;Москва;5 июля 18:53;https://44.img.avito.st/208x156/8879784444.jpg;https://www.avito.ru/rossiya/moskva/telefony/iphone_x_256_gb_1955177227?slocation=621540
iPhone 7 7 Plus 8 8 Plus iPhone X XR 6S Plus SE 5s;12 990 ;Санкт-Петербург;5 июля 19:07;https://38.img.avito.st/208x156/8876005838.jpg;https://www.avito.ru/rossiya/sankt-peterburg/telefony/iphone_7_7_plus_8_8_plus_iphone_x_xr_6s_plus_se_5s_1872202203?slocation=621540
iPhone X 256gb Новый 5++;30 500 ;Москва;5 июля 20:01;https://53.img.avito.st/208x156/8880068753.jpg;https://www.avito.ru/rossiya/moskva/telefony/iphone_x_256gb_novyy_5_1950569459?slocation=621540
iPhone X/XS/XR/8/7/6S/6/5s/4s Оригинал Гарантия;25 990 ;Ростовская область, Ростов-на-Дону;5 июля 18:48;https://61.img.avito.st/208x156/5579082261.jpg;https://www.avito.ru/rossiya/rostov-na-donu/telefony/iphone_xxsxr876s65s4s_original_garantiya_1361884215?slocation=621540
iPhone x 64gb;30 000 ;Московская область, Богородский г.о., Ногинск;5 июля 15:06;https://26.img.avito.st/208x156/8878588126.jpg;https://www.avito.ru/rossiya/noginsk/telefony/iphone_x_64gb_1968257575?slocation=621540
iPhone 7, Xr, X, 8, 8+,6s, 6, SE, 5s, 5, 4s;2 990 ;Нижегородская область, Нижний Новгород;5 июля 19:45;https://20.img.avito.st/208x156/7901434620.jpg;https://www.avito.ru/rossiya/nizhniy_novgorod/telefony/iphone_7_xr_x_8_86s_6_se_5s_5_4s_1781305111
iPhone X 7 Plus 11 Pro XR 8 XS Max 5s 6s Plus;5 990 ;Москва;5 июля 20:11;https://50.img.avito.st/208x156/8793915050.jpg;https://www.avito.ru/rossiya/moskva/telefony/iphone_x_7_plus_11_pro_xr_8_xs_max_5s_6s_plus_1936637075?slocation=621540
iPhone 7, 6s, 8, 7 plus,X,Xr, 5s, 4s;2 990 ;Нижегородская область, Нижний Новгород;5 июля 20:14;https://66.img.avito.st/208x156/7998929866.jpg;https://www.avito.ru/rossiya/nizhniy_novgorod/telefony/iphone_7_6s_8_7_plusxxr_5s_4s_1866579605
iPhone 8 X 7 7 Plus;11 490 ;Краснодарский край, Краснодар;5 июля 12:26;https://38.img.avito.st/208x156/8030121338.jpg;https://www.avito.ru/rossiya/krasnodar/telefony/iphone_8_x_7_7_plus_1856903173?slocation=621540
Телефон iPhone X на запчасти;25 000 ;Челябинская область, Магнитогорск;5 июля 20:44;https://83.img.avito.st/208x156/8880143383.jpg;https://www.avito.ru/rossiya/magnitogorsk/telefony/telefon_iphone_x_na_zapchasti_1981638938?slocation=621540
iPhone X;35 000 ;Иркутская область, Иркутск;5 июля 11:48;https://22.img.avito.st/208x156/8877526322.jpg;https://www.avito.ru/rossiya/irkutsk/telefony/iphone_x_1962095079?slocation=621540
iPhone X 64Gb Ростест, отличное состояние;32 900 ;Алтайский край, Барнаул;5 июля 12:29;https://85.img.avito.st/208x156/8877436485.jpg;https://www.avito.ru/rossiya/barnaul/telefony/iphone_x_64gb_rostest_otlichnoe_sostoyanie_1953061302?slocation=621540
iPhone x;22 000 ;Краснодарский край, Сочи;5 июля 15:12;https://00.img.avito.st/208x156/8878630900.jpg;https://www.avito.ru/rossiya/sochi/telefony/iphone_x_1952986769?slocation=621540
